Date,ROCK-B.CO
2015-08-24,72.61827087402344
2015-08-25,73.2464599609375
2015-08-26,73.6652603149414
2015-08-27,73.8746566772461
2015-08-28,74.04216766357422
2015-08-31,75.88484954833984
2015-09-01,74.96350860595703
2015-09-02,75.21478271484375
2015-09-03,76.26174926757812
2015-09-04,75.34042358398438
2015-09-07,74.08404541015625
2015-09-08,75.0472640991211
2015-09-09,75.08914184570312
2015-09-10,75.29854583740234
2015-09-11,75.0472640991211
2015-09-14,73.79088592529297
2015-09-15,72.86956024169922
2015-09-16,73.83277130126953
2015-09-17,74.67034912109375
2015-09-18,75.21478271484375
2015-09-21,75.17290496826172
2015-09-22,74.04216766357422
2015-09-23,74.12592315673828
2015-09-24,73.28833770751953
2015-09-25,73.62336730957031
2015-09-28,72.61827087402344
2015-09-29,75.67545318603516
2015-09-30,79.69584655761719
2015-10-01,82.66925048828125
2015-10-02,83.4230728149414
2015-10-05,83.50682830810547
2015-10-06,85.01448059082031
2015-10-07,86.35460662841797
2015-10-08,86.8571548461914
2015-10-09,86.52212524414062
2015-10-12,85.18199157714844
2015-10-13,85.85205841064453
2015-10-14,84.84695434570312
2015-10-15,85.09822845458984
2015-10-16,84.93071746826172
2015-10-19,86.01957702636719
2015-10-20,86.01957702636719
2015-10-21,86.10334014892578
2015-10-22,85.26575469970703
2015-10-23,86.8571548461914
2015-10-26,90.03997802734375
2015-10-27,89.36990356445312
2015-10-28,90.2912368774414
2015-10-29,88.86734771728516
2015-10-30,88.95110321044922
2015-11-02,89.36990356445312
2015-11-03,91.04505920410156
2015-11-04,90.54252624511719
2015-11-05,90.12372589111328
2015-11-06,90.62627410888672
2015-11-09,90.7938003540039
2015-11-10,89.70492553710938
2015-11-11,89.70492553710938
2015-11-12,89.70492553710938
2015-11-13,88.0297622680664
2015-11-16,89.20238494873047
2015-11-17,90.12372589111328
2015-11-18,90.4587631225586
2015-11-19,90.8775405883789
2015-11-20,90.54252624511719
2015-11-23,85.26575469970703
2015-11-24,78.77449798583984
2015-11-25,78.98389434814453
2015-11-26,80.1146240234375
2015-11-27,81.245361328125
2015-11-30,83.25556182861328
2015-12-01,82.54361724853516
2015-12-02,82.62738037109375
