Date,AIR.PA
2015-08-24,48.130889892578125
2015-08-25,49.45075607299805
2015-08-26,49.20438003540039
2015-08-27,50.95539474487305
2015-08-28,51.28096008300781
2015-08-31,51.1137809753418
2015-09-01,49.7235221862793
2015-09-02,49.063594818115234
2015-09-03,50.54183578491211
2015-09-04,48.67643737792969
2015-09-07,48.685237884521484
2015-09-08,49.17798614501953
2015-09-09,50.436248779296875
2015-09-10,49.71472930908203
2015-09-11,48.89641571044922
2015-09-14,47.963706970214844
2015-09-15,48.44765853881836
2015-09-16,49.00200271606445
2015-09-17,49.55634689331055
2015-09-18,47.884517669677734
2015-09-21,48.39486312866211
2015-09-22,46.72304153442383
2015-09-23,46.89022445678711
2015-09-24,45.64075469970703
2015-09-25,47.65574264526367
2015-09-28,46.186302185058594
2015-09-29,45.98392105102539
2015-09-30,46.55586242675781
2015-10-01,47.11900329589844
2015-10-02,48.1132926940918
2015-10-05,49.81151580810547
2015-10-06,50.119483947753906
2015-10-07,50.06669235229492
2015-10-08,50.2338752746582
2015-10-09,50.69142150878906
2015-10-12,49.45075607299805
2015-10-13,49.79391860961914
2015-10-14,49.38035583496094
2015-10-15,47.98130416870117
2015-10-16,48.86122131347656
2015-10-19,48.75563049316406
2015-10-20,48.42125701904297
2015-10-21,49.52114486694336
2015-10-22,50.61222839355469
2015-10-23,52.9439811706543
2015-10-26,52.750404357910156
2015-10-27,52.02008056640625
2015-10-28,52.46003341674805
2015-10-29,53.40153884887695
2015-10-30,55.75088119506836
2015-11-02,55.95326232910156
2015-11-03,55.63649368286133
2015-11-04,56.32282638549805
2015-11-05,56.84196853637695
2015-11-06,58.16182327270508
2015-11-09,57.545902252197266
2015-11-10,58.09143829345703
2015-11-11,58.55779266357422
2015-11-12,56.366817474365234
2015-11-13,55.90047073364258
2015-11-16,55.8388786315918
2015-11-17,58.223419189453125
2015-11-18,57.8802604675293
2015-11-19,57.95945358276367
2015-11-20,58.443397521972656
2015-11-23,58.54019546508789
2015-11-24,57.71307373046875
2015-11-25,58.99774169921875
2015-11-26,59.96564483642578
2015-11-27,59.789649963378906
2015-11-30,60.220821380615234
2015-12-01,59.17372131347656
2015-12-02,59.12972640991211
2015-12-03,56.01485824584961
2015-12-04,56.32282638549805
2015-12-07,57.97704315185547
2015-12-08,56.938751220703125
2015-12-09,55.86528015136719
2015-12-10,56.472408294677734
2015-12-11,54.80058670043945
2015-12-14,53.93827819824219
2015-12-15,55.55730438232422
2015-12-16,56.65718460083008
2015-12-17,57.308311462402344
2015-12-18,55.66289138793945
2015-12-21,54.48381805419922
2015-12-22,54.466217041015625
2015-12-23,55.0645637512207
2015-12-24,54.68619918823242
2015-12-28,54.299034118652344
2015-12-29,55.478111267089844
2015-12-30,55.0645637512207
2016-01-04,53.55112075805664
2016-01-05,54.63340377807617
2016-01-06,53.91188049316406
2016-01-07,52.82959747314453
2016-01-08,51.70330810546875
2016-01-11,51.13137435913086
2016-01-12,51.91448974609375
2016-01-13,52.34564971923828
2016-01-14,51.04338455200195
