Date,NWSA
2015-08-03,12.812383651733398
2015-08-04,12.830007553100586
2015-08-05,12.865256309509277
2015-08-06,12.354171752929688
2015-08-07,12.433476448059082
2015-08-10,12.644957542419434
2015-08-11,12.301298141479492
2015-08-12,12.442291259765625
2015-08-13,13.385149955749512
2015-08-14,13.376338958740234
2015-08-17,13.438023567199707
2015-08-18,13.332282066345215
2015-08-19,13.244161605834961
2015-08-20,12.565653800964355
2015-08-21,12.25723934173584
2015-08-24,11.490612030029297
2015-08-25,11.402493476867676
2015-08-26,11.649225234985352
2015-08-27,12.001697540283203
2015-08-28,12.160310745239258
2015-08-31,12.010509490966797
2015-09-01,11.517048835754395
2015-09-02,11.569917678833008
2015-09-03,11.737342834472656
2015-09-04,11.296751976013184
2015-09-08,11.763778686523438
2015-09-09,11.649225234985352
2015-09-10,11.464178085327148
2015-09-11,11.49942398071289
2015-09-14,11.375107765197754
2015-09-15,11.490545272827148
2015-09-16,11.579341888427734
2015-09-17,11.730300903320312
2015-09-18,11.472783088684082
2015-09-21,11.481664657592773
2015-09-22,11.357346534729004
2015-09-23,11.32182502746582
2015-09-24,11.392866134643555
2015-09-25,11.32182502746582
2015-09-28,10.913352012634277
2015-09-29,10.886713027954102
2015-09-30,11.20638656616211
2015-10-01,11.304065704345703
2015-10-02,11.579341888427734
2015-10-05,11.90789794921875
2015-10-06,11.987815856933594
2015-10-07,12.103254318237305
2015-10-08,12.476208686828613
2015-10-09,12.396289825439453
2015-10-12,12.351888656616211
2015-10-13,12.351888656616211
2015-10-14,12.41404914855957
2015-10-15,12.689325332641602
2015-10-16,12.955720901489258
2015-10-19,12.9468412399292
2015-10-20,12.937959671020508
2015-10-21,12.644927024841309
2015-10-22,13.04451847076416
2015-10-23,13.319795608520508
2015-10-26,13.06227970123291
2015-10-27,13.04451847076416
2015-10-28,13.319795608520508
2015-10-29,13.426352500915527
2015-10-30,13.674989700317383
2015-11-02,13.879226684570312
2015-11-03,13.683869361877441
2015-11-04,13.710506439208984
2015-11-05,13.63059139251709
2015-11-06,13.213236808776855
2015-11-09,12.804763793945312
2015-11-10,12.82252311706543
2015-11-11,12.769242286682129
2015-11-12,12.529488563537598
2015-11-13,12.236451148986816
2015-11-16,12.556129455566406
2015-11-17,12.556129455566406
2015-11-18,12.671566009521484
2015-11-19,12.600526809692383
2015-11-20,12.662683486938477
2015-11-23,12.715962409973145
2015-11-24,12.813642501831055
2015-11-25,12.813642501831055
