Date,VMC
2015-08-03,82.3892822265625
2015-08-04,88.26107788085938
2015-08-05,89.5291748046875
2015-08-06,87.57189178466797
2015-08-07,86.8459701538086
2015-08-10,88.19678497314453
2015-08-11,88.42648315429688
2015-08-12,89.37296295166016
2015-08-13,89.032958984375
2015-08-14,89.84159088134766
2015-08-17,90.79724884033203
2015-08-18,91.01780700683594
2015-08-19,88.95025634765625
2015-08-20,85.8167495727539
2015-08-21,84.31736755371094
2015-08-24,81.26331329345703
2015-08-25,79.11996459960938
2015-08-26,80.42622375488281
2015-08-27,84.27136993408203
2015-08-28,85.0164794921875
2015-08-31,86.12034606933594
2015-09-01,84.55653381347656
2015-09-02,87.94174194335938
2015-09-03,89.6251449584961
2015-09-04,87.6749496459961
2015-09-08,90.6186294555664
2015-09-09,90.73822784423828
2015-09-10,90.37944030761719
2015-09-11,91.18896484375
2015-09-14,91.84209442138672
2015-09-15,92.07207489013672
2015-09-16,93.16674041748047
2015-09-17,93.09314727783203
2015-09-18,91.02337646484375
2015-09-21,91.8328857421875
2015-09-22,89.46876525878906
2015-09-23,86.20313262939453
2015-09-24,84.9336929321289
2015-09-25,84.64854431152344
2015-09-28,79.71788024902344
2015-09-29,78.32884979248047
2015-09-30,82.05443572998047
2015-10-01,85.48564147949219
2015-10-02,87.95094299316406
2015-10-05,87.77615356445312
2015-10-06,85.51321411132812
2015-10-07,86.88385009765625
2015-10-08,87.84053802490234
2015-10-09,87.29781341552734
2015-10-12,86.65389251708984
2015-10-13,83.71944427490234
2015-10-14,82.68917846679688
2015-10-15,84.16097259521484
2015-10-16,84.09659576416016
2015-10-19,82.25680541992188
2015-10-20,82.03602600097656
2015-10-21,81.04254913330078
2015-10-22,85.83518981933594
2015-10-23,86.9298324584961
2015-10-26,84.63011169433594
2015-10-27,84.2621841430664
2015-10-28,87.16901397705078
2015-10-29,87.24261474609375
2015-10-30,88.8432388305664
2015-11-02,88.93524169921875
2015-11-03,87.1966323852539
2015-11-04,89.2663803100586
2015-11-05,93.451904296875
2015-11-06,93.96702575683594
2015-11-09,92.56880950927734
2015-11-10,92.07207489013672
2015-11-11,93.451904296875
2015-11-12,91.08777618408203
2015-11-13,91.23492431640625
2015-11-16,93.5254898071289
2015-11-17,93.43350982666016
2015-11-18,94.83174896240234
2015-11-19,96.35874938964844
2015-11-20,97.32556915283203
2015-11-23,97.15982818603516
2015-11-24,96.43243408203125
2015-11-25,95.18936157226562
2015-11-27,95.75104522705078
2015-11-30,94.5356216430664
2015-12-01,95.50243377685547
2015-12-02,94.89472961425781
2015-12-03,90.79728698730469
2015-12-04,91.65361785888672
