Date,GETI-B.ST
2015-08-24,109.24469757080078
2015-08-25,112.39141082763672
2015-08-26,112.51017761230469
2015-08-27,114.35071563720703
2015-08-28,114.23196411132812
2015-08-31,111.73833465576172
2015-09-01,111.79769897460938
2015-09-02,119.33799743652344
2015-09-03,120.94100189208984
2015-09-04,118.20989990234375
2015-09-07,118.92235565185547
2015-09-08,116.96307373046875
2015-09-09,118.50675964355469
2015-09-10,117.25994110107422
2015-09-11,117.49742889404297
2015-09-14,114.76631927490234
2015-09-15,115.06317138671875
2015-09-16,115.89439392089844
2015-09-17,117.49742889404297
2015-09-18,115.24128723144531
2015-09-21,117.0224380493164
2015-09-22,113.34138488769531
2015-09-23,114.64756774902344
2015-09-24,109.83843231201172
2015-09-25,112.68827819824219
2015-09-28,109.9571533203125
2015-09-29,108.9478530883789
2015-09-30,110.66964721679688
2015-10-01,109.18533325195312
2015-10-02,109.24469757080078
2015-10-05,112.2726821899414
2015-10-06,112.09457397460938
2015-10-07,110.1352767944336
2015-10-08,112.92577362060547
2015-10-09,115.1819076538086
2015-10-12,116.96307373046875
2015-10-13,115.775634765625
2015-10-14,112.98516082763672
2015-10-15,120.70352172851562
2015-10-16,124.26583862304688
2015-10-19,124.44397735595703
2015-10-20,122.9002914428711
2015-10-21,122.95966339111328
2015-10-22,126.0470199584961
2015-10-23,127.29383087158203
2015-10-26,126.10636138916016
2015-10-27,124.8001937866211
2015-10-28,126.10636138916016
2015-10-29,127.35321807861328
2015-10-30,126.99694061279297
2015-11-02,127.1750717163086
2015-11-03,127.35321807861328
2015-11-04,128.06565856933594
2015-11-05,128.83749389648438
2015-11-06,129.668701171875
2015-11-09,128.2437744140625
2015-11-10,127.5906982421875
2015-11-11,127.53131866455078
2015-11-12,124.97830963134766
2015-11-13,123.8502426147461
2015-11-16,123.8502426147461
2015-11-17,127.65007019042969
2015-11-18,128.54061889648438
2015-11-19,129.0749969482422
2015-11-20,130.49993896484375
2015-11-23,130.49993896484375
2015-11-24,127.1156997680664
2015-11-25,129.13433837890625
2015-11-26,130.85618591308594
2015-11-27,130.73739624023438
2015-11-30,130.73739624023438
2015-12-01,132.2810821533203
2015-12-02,132.3998260498047
2015-12-03,131.0936279296875
2015-12-04,129.31246948242188
2015-12-07,129.31246948242188
2015-12-08,128.0063018798828
2015-12-09,128.0063018798828
2015-12-10,126.46260070800781
2015-12-11,124.68145751953125
2015-12-14,124.68145751953125
2015-12-15,127.5906982421875
2015-12-16,127.47193145751953
2015-12-17,127.47193145751953
2015-12-18,127.5906982421875
2015-12-21,127.5906982421875
2015-12-22,126.70010375976562
2015-12-23,130.3811798095703
2015-12-28,130.3811798095703
2015-12-29,131.68736267089844
2015-12-30,132.1029510498047
2016-01-04,125.57203674316406
2016-01-05,126.0470199584961
2016-01-07,122.18782043457031
2016-01-08,122.18782043457031
2016-01-11,120.4660415649414
2016-01-12,121.41597747802734
2016-01-13,121.35662078857422
2016-01-14,118.38799285888672
2016-01-15,114.17259216308594
2016-01-18,114.23196411132812
2016-01-19,116.2505874633789
2016-01-20,112.6289291381836
2016-01-21,113.04451751708984
2016-01-22,115.53814697265625
2016-01-25,117.14118194580078
2016-01-26,118.56611633300781
2016-01-27,118.1505126953125
2016-01-28,109.6603012084961
2016-01-29,111.678955078125
2016-02-01,113.57887268066406
2016-02-02,111.56021118164062
2016-02-03,111.56021118164062
2016-02-04,110.66964721679688
2016-02-05,108.76971435546875
2016-02-08,104.01995849609375
2016-02-09,105.74175262451172
2016-02-10,107.99789428710938
2016-02-11,105.68238067626953
2016-02-12,106.45421600341797
2016-02-15,109.18533325195312
2016-02-16,107.52291870117188
2016-02-17,110.61026000976562
2016-02-18,110.01655578613281
2016-02-19,109.89778137207031
2016-02-22,110.78836822509766
2016-02-23,111.08525085449219
2016-02-24,108.47286987304688
2016-02-25,112.39141082763672
2016-02-26,112.56953430175781
2016-02-29,113.22264099121094
2016-03-01,114.64756774902344
2016-03-02,112.80702209472656
2016-03-03,109.9571533203125
2016-03-04,111.61959075927734
2016-03-07,111.44148254394531
2016-03-08,111.08525085449219
2016-03-09,110.66964721679688
2016-03-10,108.9478530883789
2016-03-11,110.66964721679688
2016-03-14,112.39141082763672
2016-03-15,112.03520202636719
2016-03-16,110.55088806152344
2016-03-17,108.41349792480469
2016-03-18,109.89778137207031
2016-03-21,110.66964721679688
2016-03-22,111.44148254394531
2016-03-23,111.79769897460938
2016-03-24,110.07591247558594
2016-03-29,111.91645050048828
2016-03-30,113.34138488769531
2016-03-31,113.34069061279297
2016-04-01,112.12911224365234
