Date,SHB-A.ST
2015-08-24,69.67277526855469
2015-08-25,73.5971450805664
2015-08-26,72.93301391601562
2015-08-27,76.2536392211914
2015-08-28,77.03852081298828
2015-08-31,76.37438201904297
2015-09-01,75.28764343261719
2015-09-02,75.71026611328125
2015-09-03,77.2196273803711
2015-09-04,75.10649871826172
2015-09-07,74.98577117919922
2015-09-08,76.7970199584961
2015-09-09,77.46114349365234
2015-09-10,76.67625427246094
2015-09-11,76.37438201904297
2015-09-14,74.56312561035156
2015-09-15,75.16688537597656
2015-09-16,75.64988708496094
2015-09-17,76.67625427246094
2015-09-18,76.1932601928711
2015-09-21,76.67625427246094
2015-09-22,74.3216323852539
2015-09-23,73.17451477050781
2015-09-24,71.18213653564453
2015-09-25,73.35564422607422
2015-09-28,72.26889038085938
2015-09-29,71.84626770019531
2015-09-30,72.38963317871094
2015-10-01,71.36326599121094
2015-10-02,72.26889038085938
2015-10-05,73.47637176513672
2015-10-06,73.7178955078125
2015-10-07,73.53675842285156
2015-10-08,74.56312561035156
2015-10-09,75.28764343261719
2015-10-12,75.16688537597656
2015-10-13,73.95938873291016
2015-10-14,73.17451477050781
2015-10-15,73.83863067626953
2015-10-16,74.2612533569336
2015-10-19,74.6235122680664
2015-10-20,75.52913665771484
2015-10-21,70.21614074707031
2015-10-22,69.97464752197266
2015-10-23,71.0009994506836
2015-10-26,71.785888671875
2015-10-27,71.06139373779297
2015-10-28,70.39725494384766
2015-10-29,70.03500366210938
2015-10-30,70.15575408935547
2015-11-02,70.39725494384766
2015-11-03,70.09538269042969
2015-11-04,71.24252319335938
2015-11-05,70.94064331054688
2015-11-06,72.45001220703125
2015-11-09,71.72550964355469
2015-11-10,71.6651382446289
2015-11-11,72.38963317871094
2015-11-12,71.6651382446289
2015-11-13,70.21614074707031
2015-11-16,70.21614074707031
2015-11-17,71.36326599121094
2015-11-18,71.12174987792969
2015-11-19,71.785888671875
2015-11-20,71.96700286865234
2015-11-23,71.96700286865234
2015-11-24,69.12938690185547
2015-11-25,69.12938690185547
2015-11-26,70.51801300048828
2015-11-27,70.09538269042969
2015-11-30,70.09538269042969
2015-12-01,70.75951385498047
2015-12-02,70.5783920288086
2015-12-03,69.61238098144531
2015-12-04,69.61238098144531
2015-12-07,69.61238098144531
2015-12-08,68.34451293945312
2015-12-09,67.43888854980469
2015-12-10,67.25775909423828
2015-12-11,65.44651794433594
2015-12-14,65.44651794433594
2015-12-15,68.16338348388672
2015-12-16,68.16338348388672
2015-12-17,67.92188262939453
2015-12-18,66.95588684082031
2015-12-21,66.95588684082031
2015-12-22,67.3181381225586
2015-12-23,68.46525573730469
2015-12-28,68.46525573730469
2015-12-29,68.82750701904297
2015-12-30,68.16338348388672
2016-01-04,65.9898910522461
2016-01-05,65.5672607421875
2016-01-07,64.29939270019531
2016-01-08,63.695640563964844
2016-01-11,63.756019592285156
2016-01-12,63.57488250732422
2016-01-13,63.937129974365234
2016-01-14,63.393768310546875
2016-01-15,60.858009338378906
2016-01-18,60.556129455566406
2016-01-19,60.61650848388672
2016-01-20,58.50338363647461
2016-01-21,59.74106979370117
2016-01-22,61.8843879699707
2016-01-25,61.52214050292969
2016-01-26,63.03151321411133
2016-01-27,62.85038375854492
2016-01-28,62.60888671875
2016-01-29,64.78237915039062
2016-02-01,63.635257720947266
2016-02-02,62.427757263183594
2016-02-03,61.039127349853516
2016-02-04,64.54087829589844
2016-02-05,63.81638717651367
2016-02-08,60.556129455566406
2016-02-09,61.52214050292969
2016-02-10,62.790008544921875
2016-02-11,59.8618278503418
2016-02-12,63.03151321411133
2016-02-15,65.80874633789062
