Date,GLEN.L
2015-08-24,137.39788818359375
2015-08-25,143.77456665039062
2015-08-26,138.39422607421875
2015-08-27,144.82077026367188
2015-08-28,147.76002502441406
2015-09-01,133.01390075683594
2015-09-02,122.3528823852539
2015-09-03,130.4731903076172
2015-09-04,122.70162963867188
2015-09-07,131.3201141357422
2015-09-08,137.09901428222656
2015-09-09,143.6749267578125
2015-09-10,132.47122192382812
2015-09-11,133.36831665039062
2015-09-14,127.48735046386719
2015-09-15,127.63687133789062
2015-09-16,134.26539611816406
2015-09-17,131.7236328125
2015-09-18,125.5934829711914
2015-09-21,118.61605834960938
2015-09-22,106.00688934326172
2015-09-23,108.74800872802734
2015-09-24,98.29185485839844
2015-09-25,96.90634155273438
2015-09-28,68.39862823486328
2015-09-29,79.99108123779297
2015-09-30,91.254638671875
2015-10-01,90.7263412475586
2015-10-02,94.69349670410156
2015-10-05,114.62896728515625
2015-10-06,117.46977996826172
2015-10-07,123.59992218017578
2015-10-08,120.26075744628906
2015-10-09,128.68344116210938
2015-10-12,120.7591323852539
2015-10-13,117.66913604736328
2015-10-14,119.61284637451172
2015-10-15,117.37010955810547
2015-10-16,115.62574768066406
2015-10-19,109.64510345458984
2015-10-20,113.13380432128906
2015-10-21,110.19334411621094
2015-10-22,116.72220611572266
2015-10-23,118.76557922363281
2015-10-26,115.57592010498047
2015-10-27,111.6884994506836
2015-10-28,115.07752227783203
2015-10-29,110.4425277709961
2015-10-30,112.13703155517578
2015-11-02,115.22704315185547
2015-11-03,119.06462860107422
2015-11-04,125.44396209716797
2015-11-05,121.10800170898438
2015-11-06,115.47623443603516
2015-11-09,109.34607696533203
2015-11-10,104.71109008789062
2015-11-11,103.51493835449219
2015-11-12,95.61052703857422
2015-11-13,92.8095932006836
2015-11-16,89.2511215209961
2015-11-17,88.54341125488281
2015-11-18,93.00895690917969
2015-11-19,93.74657440185547
2015-11-20,92.03211975097656
2015-11-23,90.12828826904297
2015-11-24,93.67678833007812
2015-11-25,90.28778076171875
2015-11-26,95.57066345214844
2015-11-27,91.58355712890625
2015-11-30,96.39797973632812
2015-12-01,94.17518615722656
2015-12-02,93.19835662841797
2015-12-03,89.9289321899414
2015-12-04,87.00837707519531
2015-12-07,85.0846176147461
2015-12-08,79.19367980957031
2015-12-09,82.81195831298828
2015-12-10,88.6131820678711
2015-12-11,85.0945816040039
2015-12-14,79.74189758300781
2015-12-15,82.10424041748047
2015-12-16,84.0778579711914
2015-12-17,80.59912109375
2015-12-18,80.59912109375
2015-12-21,82.78206634521484
2015-12-22,85.56305694580078
2015-12-23,92.78966522216797
2015-12-24,92.10189819335938
2015-12-29,92.79962158203125
2015-12-30,89.51028442382812
2015-12-31,90.1880874633789
2016-01-04,84.9948959350586
2016-01-05,87.97525787353516
2016-01-06,85.57301330566406
2016-01-07,78.4560546875
2016-01-08,77.23001098632812
2016-01-11,73.19308471679688
2016-01-12,71.76770782470703
2016-01-13,71.63813018798828
2016-01-14,78.36634826660156
2016-01-15,73.26285552978516
2016-01-18,74.90753936767578
2016-01-19,78.72518920898438
2016-01-20,70.97029113769531
2016-01-21,81.98462677001953
2016-01-22,78.32649230957031
2016-01-25,80.58914184570312
2016-01-26,86.81897735595703
2016-01-27,91.73308563232422
2016-01-28,90.15818786621094
2016-01-29,89.19132232666016
2016-02-01,87.70612335205078
2016-02-02,82.8817138671875
2016-02-03,85.6727066040039
2016-02-04,99.35840606689453
2016-02-05,101.82042694091797
2016-02-08,102.46833801269531
2016-02-09,94.13530731201172
2016-02-10,93.19835662841797
2016-02-11,87.3971176147461
2016-02-12,98.14232635498047
2016-02-15,100.87349700927734
2016-02-16,102.61785125732422
2016-02-17,119.61284637451172
2016-02-18,117.51961517333984
2016-02-19,118.01800537109375
2016-02-22,131.97283935546875
2016-02-23,129.03233337402344
2016-02-24,115.97462463378906
2016-02-25,118.41670227050781
2016-02-26,127.83621978759766
2016-02-29,132.82009887695312
2016-03-01,130.07896423339844
2016-03-02,134.963134765625
2016-03-03,142.53863525390625
2016-03-04,159.48379516601562
2016-03-07,170.19912719726562
2016-03-08,139.29910278320312
2016-03-09,142.78785705566406
2016-03-10,136.8071746826172
2016-03-11,141.2428436279297
2016-03-14,147.42282104492188
2016-03-15,140.39556884765625
2016-03-16,143.83441162109375
2016-03-17,157.49024963378906
2016-03-18,160.2812042236328
2016-03-21,159.38414001464844
2016-03-22,159.33428955078125
2016-03-23,153.0047607421875
2016-03-24,150.712158203125
2016-03-29,143.3360595703125
2016-03-30,151.06105041503906
2016-03-31,156.79251098632812
2016-04-01,149.26686096191406
2016-04-04,149.3166961669922
2016-04-05,141.39234924316406
2016-04-06,139.6480255126953
2016-04-07,131.67379760742188
2016-04-08,136.358642578125
2016-04-11,141.04348754882812
2016-04-12,148.0707550048828
2016-04-13,157.9886016845703
2016-04-14,157.49024963378906
2016-04-15,155.1478271484375
2016-04-18,157.5400848388672
2016-04-19,169.35186767578125
2016-04-20,170.0994110107422
2016-04-21,166.21200561523438
2016-04-22,161.27798461914062
2016-04-25,154.4999542236328
2016-04-26,151.5095977783203
2016-04-27,152.5063934326172
2016-04-28,155.94522094726562
2016-04-29,162.37442016601562
2016-05-03,149.3166961669922
2016-05-04,144.58206176757812
2016-05-05,144.98072814941406
2016-05-06,145.1302490234375
2016-05-09,132.12234497070312
2016-05-10,133.4679718017578
2016-05-11,136.40846252441406
2016-05-12,130.67703247070312
2016-05-13,130.72686767578125
2016-05-16,133.16897583007812
2016-05-17,136.05960083007812
2016-05-18,132.5210723876953
2016-05-19,127.68670654296875
2016-05-20,128.23492431640625
2016-05-23,128.3844451904297
2016-05-24,129.28152465820312
2016-05-25,132.9696044921875
2016-05-26,135.51138305664062
2016-05-27,133.86671447753906
2016-05-31,130.67703247070312
2016-06-01,128.484130859375
