Date,CSMG3.SA
2015-08-24,1.4864304065704346
2015-08-25,1.542128086090088
2015-08-26,1.583901286125183
2015-08-27,1.6274144649505615
2015-08-28,1.6239330768585205
2015-08-31,1.6535232067108154
2015-09-01,1.6378581523895264
2015-09-02,1.618712306022644
2015-09-03,1.583901286125183
2015-09-04,1.5142790079116821
2015-09-08,1.4812086820602417
2015-09-09,1.5229822397232056
2015-09-10,1.554311990737915
2015-09-11,1.799729824066162
2015-09-14,1.9059027433395386
2015-09-15,1.813653588294983
2015-09-16,1.9441951513290405
2015-09-17,1.9198272228240967
2015-09-18,1.87457275390625
2015-09-21,1.9720444679260254
2015-09-22,1.8710917234420776
2015-09-23,1.9685628414154053
2015-09-24,1.94071364402771
2015-09-25,2.0608127117156982
2015-09-28,2.2104992866516113
2015-09-29,2.1321749687194824
2015-09-30,2.1669859886169434
2015-10-01,2.0904011726379395
2015-10-02,2.0712554454803467
2015-10-05,2.062551736831665
2015-10-06,2.079957962036133
2015-10-07,2.0747363567352295
2015-10-08,2.193094491958618
2015-10-09,2.1060657501220703
2015-10-13,2.271419048309326
2015-10-14,2.339301109313965
2015-10-15,2.2888247966766357
2015-10-16,2.3671483993530273
2015-10-19,2.3427813053131104
2015-10-20,2.3323378562927246
2015-10-21,2.097362995147705
2015-10-22,2.1582822799682617
2015-10-23,2.14261794090271
2015-10-26,2.177428722381592
2015-10-27,2.1217310428619385
2015-10-28,2.1565418243408203
2015-10-29,2.1756882667541504
2015-10-30,2.2627153396606445
2015-11-03,2.4176247119903564
2015-11-04,2.480285167694092
2015-11-05,2.5673117637634277
2015-11-06,2.419365167617798
2015-11-09,2.4489545822143555
2015-11-10,2.5237979888916016
2015-11-11,2.544684886932373
2015-11-12,2.640714406967163
2015-11-13,2.56227707862854
2015-11-16,2.706949472427368
2015-11-17,2.7139229774475098
2015-11-18,2.7104363441467285
2015-11-19,2.8760251998901367
2015-11-23,2.858595609664917
2015-11-24,2.7888734340667725
2015-11-25,2.924830675125122
2015-11-26,2.9196016788482666
2015-11-27,2.898684501647949
2015-11-30,2.849879264831543
2015-12-01,2.851623058319092
2015-12-02,2.787130832672119
2015-12-03,2.7853875160217285
2015-12-04,2.7574987411499023
2015-12-07,2.7208948135375977
2015-12-08,2.6197986602783203
