Date,SYY
2015-08-03,28.014156341552734
2015-08-04,28.15318489074707
2015-08-05,28.392621994018555
2015-08-06,27.99871253967285
2015-08-07,28.523923873901367
2015-08-10,29.033695220947266
2015-08-11,29.32720184326172
2015-08-12,29.836971282958984
2015-08-13,29.75200843811035
2015-08-14,31.961002349853516
2015-08-17,31.78336524963379
2015-08-18,31.78336524963379
2015-08-19,31.636613845825195
2015-08-20,31.3199462890625
2015-08-21,30.663414001464844
2015-08-24,30.323564529418945
2015-08-25,30.153642654418945
2015-08-26,30.856502532958984
2015-08-27,31.126842498779297
2015-08-28,30.82561492919922
2015-08-31,30.79471778869629
2015-09-01,30.184534072875977
2015-09-02,30.717479705810547
2015-09-03,30.82561492919922
2015-09-04,30.563011169433594
2015-09-08,30.94919776916504
2015-09-09,30.58617401123047
2015-09-10,30.408536911010742
2015-09-11,30.856502532958984
2015-09-14,30.80245018005371
2015-09-15,30.478044509887695
2015-09-16,30.53211212158203
2015-09-17,30.51666259765625
2015-09-18,30.493501663208008
2015-09-21,30.77927017211914
2015-09-22,30.393083572387695
2015-09-23,30.47032928466797
2015-09-24,30.671131134033203
2015-09-25,30.686588287353516
2015-09-28,29.906494140625
2015-09-29,30.068693161010742
2015-09-30,30.333337783813477
2015-10-01,30.053112030029297
2015-10-02,30.66803741455078
2015-10-05,31.298507690429688
2015-10-06,31.19734001159668
2015-10-07,31.570953369140625
2015-10-08,31.87452507019043
2015-10-09,31.858945846557617
2015-10-12,32.10025405883789
2015-10-13,32.10025405883789
2015-10-14,31.485336303710938
2015-10-15,31.749975204467773
2015-10-16,32.248138427734375
2015-10-19,32.2403678894043
2015-10-20,31.983488082885742
2015-10-21,32.33374786376953
2015-10-22,32.46607971191406
2015-10-23,32.50499725341797
2015-10-26,32.294837951660156
2015-10-27,32.40381622314453
2015-10-28,32.35710525512695
2015-10-29,32.52835464477539
2015-10-30,32.1080207824707
2015-11-02,31.944562911987305
2015-11-03,31.88230323791504
2015-11-04,31.749975204467773
2015-11-05,31.960134506225586
2015-11-06,31.858945846557617
2015-11-09,31.500900268554688
2015-11-10,31.547605514526367
2015-11-11,31.415271759033203
2015-11-12,31.306304931640625
2015-11-13,31.111705780029297
2015-11-16,31.59430503845215
2015-11-17,31.508678436279297
2015-11-18,32.03019332885742
2015-11-19,32.224788665771484
2015-11-20,31.851177215576172
2015-11-23,32.224788665771484
2015-11-24,32.162513732910156
2015-11-25,32.30261993408203
2015-11-27,32.3415412902832
2015-11-30,31.991275787353516
2015-12-01,31.944562911987305
2015-12-02,31.921232223510742
2015-12-03,31.532033920288086
2015-12-04,31.991275787353516
2015-12-07,31.967937469482422
2015-12-08,32.04576110839844
2015-12-09,32.014625549316406
2015-12-10,31.999067306518555
2015-12-11,31.843393325805664
2015-12-14,32.076904296875
2015-12-15,32.02240753173828
2015-12-16,32.33374786376953
2015-12-17,32.1080207824707
2015-12-18,31.563175201416016
2015-12-21,31.804462432861328
2015-12-22,32.12359619140625
2015-12-23,32.3415412902832
2015-12-24,32.14695358276367
2015-12-28,32.310401916503906
2015-12-29,32.325984954833984
2015-12-30,32.27149200439453
2015-12-31,31.91344451904297
2016-01-04,31.609861373901367
2016-01-05,31.633224487304688
2016-01-06,31.523408889770508
2016-01-07,31.20966148376465
2016-01-08,31.217506408691406
2016-01-11,31.468507766723633
2016-01-12,31.92343521118164
2016-01-13,31.405750274658203
2016-01-14,31.476350784301758
2016-01-15,31.264575958251953
2016-01-19,31.343000411987305
2016-01-20,31.107683181762695
2016-01-21,30.903764724731445
2016-01-22,31.052799224853516
2016-01-25,30.668455123901367
2016-01-26,30.78611183166504
2016-01-27,30.833171844482422
2016-01-28,30.982194900512695
2016-01-29,31.22535514831543
2016-02-01,33.845115661621094
2016-02-02,33.562747955322266
2016-02-03,33.90785598754883
2016-02-04,34.07258224487305
2016-02-05,33.78236770629883
2016-02-08,33.82158279418945
2016-02-09,33.42155838012695
2016-02-10,33.499996185302734
2016-02-11,33.42155838012695
2016-02-12,33.892181396484375
2016-02-16,34.323577880859375
2016-02-17,34.809879302978516
2016-02-18,34.919681549072266
2016-02-19,35.28833770751953
2016-02-22,33.562747955322266
2016-02-23,33.64902877807617
2016-02-24,33.8058967590332
2016-02-25,34.16670608520508
2016-02-26,33.93138885498047
2016-02-29,34.61378479003906
2016-03-01,34.95889663696289
2016-03-02,35.3197135925293
2016-03-03,35.296173095703125
2016-03-04,35.31187057495117
2016-03-07,35.36677169799805
2016-03-08,35.194217681884766
2016-03-09,35.327552795410156
2016-03-10,35.37461853027344
2016-03-11,35.955039978027344
2016-03-14,35.92366409301758
2016-03-15,35.978572845458984
2016-03-16,36.11192321777344
2016-03-17,36.16682434082031
2016-03-18,36.57469177246094
2016-03-21,36.35506820678711
2016-03-22,36.34722900390625
2016-03-23,36.35506820678711
2016-03-24,36.26877975463867
2016-03-28,36.26877975463867
2016-03-29,36.44135284423828
2016-03-30,36.820369720458984
2016-03-31,36.89932632446289
2016-04-01,37.175697326660156
2016-04-04,37.10463333129883
2016-04-05,36.87563705444336
2016-04-06,37.09672927856445
2016-04-07,36.92302322387695
2016-04-08,37.06515884399414
2016-04-11,36.883522033691406
2016-04-12,37.07305145263672
2016-04-13,37.191497802734375
2016-04-14,36.8045654296875
2016-04-15,36.970394134521484
2016-04-18,37.01778793334961
2016-04-19,37.09672927856445
2016-04-20,36.91512680053711
2016-04-21,35.99125289916992
2016-04-22,36.14128112792969
2016-04-25,36.55979537963867
2016-04-26,36.55979537963867
2016-04-27,36.64664077758789
