Date,ADANIPORTS.NS
2015-08-03,313.2917785644531
2015-08-04,321.2969665527344
2015-08-05,321.9600830078125
2015-08-06,328.49688720703125
2015-08-07,321.6758728027344
2015-08-10,320.7285461425781
2015-08-11,314.3338317871094
2015-08-12,314.3338317871094
2015-08-13,317.0812072753906
2015-08-14,344.60198974609375
2015-08-17,339.4388122558594
2015-08-18,344.31781005859375
2015-08-19,346.2598876953125
2015-08-20,349.1492919921875
2015-08-21,345.83355712890625
2015-08-24,316.9864807128906
2015-08-25,326.6495361328125
2015-08-26,329.5389709472656
2015-08-27,337.7809753417969
2015-08-28,343.5599060058594
2015-08-31,336.7388916015625
2015-09-01,324.23370361328125
2015-09-02,316.9390869140625
2015-09-03,321.5337219238281
2015-09-04,321.4864501953125
2015-09-07,305.66552734375
2015-09-08,300.833984375
2015-09-09,306.9918212890625
2015-09-10,309.02862548828125
2015-09-11,305.9497375488281
2015-09-14,312.58123779296875
2015-09-15,314.5232849121094
2015-09-16,316.6075439453125
2015-09-18,321.8179626464844
2015-09-21,315.3759765625
2015-09-22,302.3023986816406
2015-09-23,294.4866638183594
2015-09-24,285.9604187011719
2015-09-28,291.0288391113281
2015-09-29,281.7446594238281
2015-09-30,283.2603759765625
2015-10-01,288.99200439453125
2015-10-05,301.11822509765625
2015-10-06,299.17608642578125
2015-10-07,297.9919128417969
2015-10-08,303.8655090332031
2015-10-09,301.7813415527344
2015-10-12,303.8655090332031
2015-10-13,306.51806640625
2015-10-14,307.41815185546875
2015-10-15,311.6813049316406
2015-10-16,306.28131103515625
2015-10-19,300.97607421875
2015-10-20,293.539306640625
2015-10-21,297.66033935546875
2015-10-23,297.6129455566406
2015-10-26,299.6971740722656
2015-10-27,294.9129638671875
2015-10-28,284.8236083984375
2015-10-29,284.30255126953125
2015-10-30,280.6552429199219
2015-11-02,279.9920349121094
2015-11-03,275.87109375
2015-11-04,274.21319580078125
2015-11-05,269.1448059082031
2015-11-06,270.0447998046875
2015-11-09,261.5185852050781
2015-11-10,251.61866760253906
2015-11-13,253.2765655517578
2015-11-16,257.7764587402344
2015-11-17,256.4975280761719
2015-11-18,253.22918701171875
2015-11-19,256.4975280761719
2015-11-20,255.5028839111328
2015-11-23,261.94482421875
