Date,BOL.ST
2015-08-24,99.10601043701172
2015-08-25,102.08375549316406
2015-08-26,99.94587707519531
2015-08-27,109.03187561035156
2015-08-28,108.19198608398438
2015-08-31,106.817626953125
2015-09-01,103.53446960449219
2015-09-02,103.15270233154297
2015-09-03,108.87916564941406
2015-09-04,102.77091979980469
2015-09-07,105.51963806152344
2015-09-08,109.94812774658203
2015-09-09,110.25350952148438
2015-09-10,109.56632995605469
2015-09-11,110.02445983886719
2015-09-14,107.8865737915039
2015-09-15,107.19939422607422
2015-09-16,108.34468078613281
2015-09-17,106.74129486083984
2015-09-18,104.52703857421875
2015-09-21,103.4581069946289
2015-09-22,97.9607162475586
2015-09-23,98.34246826171875
2015-09-24,97.2735366821289
2015-09-25,98.18977355957031
2015-09-28,95.899169921875
2015-09-29,97.2735366821289
2015-09-30,99.86952209472656
2015-10-01,99.4113998413086
2015-10-02,102.16012573242188
2015-10-05,107.65751647949219
2015-10-06,106.51222229003906
2015-10-07,107.19939422607422
2015-10-08,107.19939422607422
2015-10-09,121.0192642211914
2015-10-12,119.03408813476562
2015-10-13,117.96514892578125
2015-10-14,117.1252670288086
2015-10-15,118.27056121826172
2015-10-16,119.03408813476562
2015-10-19,116.66716766357422
2015-10-20,115.75091552734375
2015-10-21,115.29278564453125
2015-10-22,119.26315307617188
2015-10-23,125.29503631591797
2015-10-26,125.37139129638672
2015-10-27,125.06597137451172
2015-10-28,126.593017578125
2015-10-29,124.5315170288086
2015-10-30,124.91325378417969
2015-11-02,125.6004409790039
2015-11-03,127.66195678710938
2015-11-04,128.12008666992188
2015-11-05,124.5315170288086
2015-11-06,125.67678833007812
2015-11-09,123.92069244384766
2015-11-10,122.1645736694336
2015-11-11,120.33209228515625
2015-11-12,115.44551849365234
2015-11-13,115.5218734741211
2015-11-16,113.46033477783203
2015-11-17,114.83467102050781
2015-11-18,117.1252670288086
2015-11-19,116.36173248291016
2015-11-20,119.41584014892578
2015-11-23,118.346923828125
2015-11-24,116.89623260498047
2015-11-25,117.43069458007812
2015-11-26,120.33209228515625
2015-11-27,119.72128295898438
2015-11-30,122.39360809326172
2015-12-01,119.72128295898438
2015-12-02,121.40103912353516
2015-12-03,116.13268280029297
2015-12-04,115.5218734741211
2015-12-07,115.21644592285156
2015-12-08,111.01702880859375
2015-12-09,112.3150405883789
2015-12-10,110.17716979980469
2015-12-11,107.50479888916016
2015-12-14,106.97034454345703
2015-12-15,105.97775268554688
2015-12-16,106.1304702758789
2015-12-17,104.37433624267578
2015-12-18,105.44329833984375
2015-12-21,104.90879821777344
2015-12-22,104.98517608642578
2015-12-23,113.0785903930664
2015-12-28,109.64268493652344
2015-12-29,110.1008071899414
2015-12-30,109.10821533203125
2016-01-04,106.6649398803711
2016-01-05,107.96292114257812
2016-01-07,99.64047241210938
2016-01-08,96.58634185791016
2016-01-11,95.21200561523438
2016-01-12,91.92882537841797
2016-01-13,90.09635162353516
2016-01-14,94.06670379638672
2016-01-15,87.34765625
2016-01-18,88.18754577636719
2016-01-19,89.18013000488281
2016-01-20,84.14083862304688
2016-01-21,87.19495391845703
2016-01-22,87.72942352294922
