Date,BME.L
2015-08-24,316.0345153808594
2015-08-25,323.6137390136719
2015-08-26,318.6273498535156
2015-08-27,324.01263427734375
2015-08-28,322.6164855957031
2015-09-01,317.13153076171875
2015-09-02,317.6301574707031
2015-09-03,318.8268737792969
2015-09-04,314.0399475097656
2015-09-07,311.7462463378906
2015-09-08,311.4470520019531
2015-09-09,312.84326171875
2015-09-10,314.1397399902344
2015-09-11,314.0399475097656
2015-09-14,315.4361572265625
2015-09-15,314.2393798828125
2015-09-16,314.8377990722656
2015-09-17,316.7325439453125
2015-09-18,322.71624755859375
2015-09-21,325.907470703125
2015-09-22,317.9293212890625
2015-09-23,319.3255310058594
2015-09-24,315.53594970703125
2015-09-25,318.6273498535156
2015-09-28,319.3255310058594
2015-09-29,314.1397399902344
2015-09-30,324.5113220214844
2015-10-01,330.5946350097656
2015-10-02,335.9798278808594
2015-10-05,334.0850830078125
2015-10-06,339.0714416503906
2015-10-07,325.6082763671875
2015-10-08,327.8022766113281
2015-10-09,327.7026062011719
2015-10-12,324.3118591308594
2015-10-13,323.7135009765625
2015-10-14,322.71624755859375
2015-10-15,321.51953125
2015-10-16,323.4142761230469
2015-10-19,327.50311279296875
2015-10-20,325.7080383300781
2015-10-21,323.5140380859375
2015-10-22,326.0072326660156
2015-10-23,337.6752014160156
2015-10-26,336.07958984375
2015-10-27,332.6888427734375
2015-10-28,333.1875
2015-10-29,334.0850830078125
2015-10-30,332.48944091796875
2015-11-02,330.9935302734375
2015-11-03,334.0850830078125
2015-11-04,329.7969055175781
2015-11-05,334.0850830078125
2015-11-06,334.0850830078125
2015-11-09,334.0850830078125
2015-11-10,334.583740234375
2015-11-11,331.7913818359375
2015-11-12,332.6888427734375
2015-11-13,323.4142761230469
2015-11-16,318.7271728515625
2015-11-17,307.1587829589844
2015-11-18,321.51953125
2015-11-19,314.1397399902344
2015-11-20,309.1533203125
2015-11-23,309.1533203125
2015-11-24,304.8651428222656
2015-11-25,305.96197509765625
2015-11-26,306.7598571777344
2015-11-27,312.4443359375
2015-11-30,315.9347839355469
2015-12-01,318.3282775878906
2015-12-02,314.0399475097656
2015-12-03,307.1744384765625
2015-12-04,306.077392578125
2015-12-07,294.6081848144531
2015-12-08,286.4302062988281
2015-12-09,282.9395751953125
2015-12-10,288.1256103515625
2015-12-11,286.2307434082031
2015-12-14,285.6322937011719
2015-12-15,287.9261169433594
2015-12-16,285.23333740234375
2015-12-17,298.19854736328125
2015-12-18,291.71600341796875
2015-12-21,286.7294006347656
2015-12-22,284.7347106933594
2015-12-23,282.44091796875
2015-12-24,280.3465270996094
2015-12-29,285.73211669921875
2015-12-30,287.3277587890625
2015-12-31,283.93682861328125
2016-01-04,277.75347900390625
2016-01-05,280.246826171875
2016-01-06,265.985107421875
2016-01-07,248.23281860351562
2016-01-08,251.0253448486328
2016-01-11,247.0360565185547
2016-01-12,255.11436462402344
2016-01-13,256.01190185546875
2016-01-14,276.7560729980469
2016-01-15,277.9530334472656
2016-01-18,272.26824951171875
2016-01-19,272.66717529296875
2016-01-20,266.7830505371094
2016-01-21,269.77496337890625
2016-01-22,272.86663818359375
2016-01-25,272.66717529296875
2016-01-26,274.0633850097656
2016-01-27,278.7508850097656
2016-01-28,275.26025390625
2016-01-29,280.246826171875
2016-02-01,283.33843994140625
2016-02-02,285.03387451171875
2016-02-03,285.9315185546875
2016-02-04,287.02862548828125
2016-02-05,284.2360534667969
2016-02-08,272.86663818359375
2016-02-09,277.2548522949219
2016-02-10,278.0527038574219
2016-02-11,272.26824951171875
2016-02-12,276.95562744140625
2016-02-15,286.9288330078125
2016-02-16,278.7508850097656
2016-02-17,285.5326232910156
2016-02-18,286.2307434082031
2016-02-19,290.22003173828125
2016-02-22,285.23333740234375
2016-02-23,282.3412170410156
2016-02-24,280.3465270996094
2016-02-25,287.5271301269531
2016-02-26,286.1309509277344
2016-02-29,284.1363220214844
2016-03-01,289.82110595703125
2016-03-02,286.7294006347656
2016-03-03,283.63763427734375
2016-03-04,289.82110595703125
2016-03-07,287.2279968261719
2016-03-08,283.4382629394531
2016-03-09,282.9395751953125
2016-03-10,268.7776184082031
2016-03-11,267.580810546875
2016-03-14,272.0687255859375
2016-03-15,272.16845703125
2016-03-16,273.2655334472656
2016-03-17,271.2709655761719
2016-03-18,273.2655334472656
2016-03-21,273.1658020019531
2016-03-22,268.0794982910156
2016-03-23,268.6778869628906
2016-03-24,260.599609375
2016-03-29,262.99322509765625
2016-03-30,263.7911071777344
2016-03-31,264.6885986328125
2016-04-01,262.0955505371094
2016-04-04,260.4998474121094
2016-04-05,261.2977294921875
2016-04-06,269.176513671875
2016-04-07,267.2817077636719
2016-04-08,264.8880920410156
2016-04-11,261.3974609375
2016-04-12,267.2817077636719
2016-04-13,271.17120361328125
2016-04-14,271.570068359375
2016-04-15,274.66180419921875
2016-04-18,276.25750732421875
2016-04-19,281.3438720703125
2016-04-20,284.43560791015625
2016-04-21,285.3330993652344
2016-04-22,280.8453063964844
2016-04-25,285.4328918457031
2016-04-26,285.3330993652344
2016-04-27,286.4302062988281
2016-04-28,284.3358154296875
2016-04-29,276.656494140625
2016-05-03,276.5566711425781
2016-05-04,274.1631164550781
2016-05-05,274.7615966796875
2016-05-06,270.9717102050781
2016-05-09,269.97442626953125
2016-05-10,269.3760681152344
2016-05-11,269.3760681152344
2016-05-12,271.8693542480469
2016-05-13,274.4623718261719
2016-05-16,279.84783935546875
2016-05-17,280.5459899902344
2016-05-18,281.74273681640625
2016-05-19,279.0499267578125
2016-05-20,279.9476318359375
2016-05-23,280.8453063964844
2016-05-24,283.03924560546875
2016-05-25,281.5433044433594
2016-05-26,289.9207763671875
2016-05-27,304.0827331542969
2016-05-31,310.16644287109375
2016-06-01,304.68109130859375
2016-06-02,304.2822265625
2016-06-03,304.18243408203125
2016-06-06,301.3899230957031
2016-06-07,297.3010559082031
2016-06-08,294.1094665527344
2016-06-09,279.84783935546875
2016-06-10,274.4623718261719
2016-06-13,267.38134765625
2016-06-14,260.599609375
2016-06-15,268.2789611816406
2016-06-16,272.0687255859375
2016-06-17,279.9476318359375
2016-06-20,287.2279968261719
2016-06-21,289.3224182128906
2016-06-22,288.4248352050781
2016-06-23,289.8531799316406
2016-06-24,255.9405059814453
2016-06-27,232.50086975097656
2016-06-28,246.3651885986328
2016-06-29,253.34718322753906
2016-06-30,254.4443817138672
2016-07-01,257.03765869140625
2016-07-04,250.35487365722656
2016-07-05,238.38572692871094
2016-07-06,232.99964904785156
2016-07-07,237.98678588867188
2016-07-08,245.66697692871094
2016-07-11,254.84332275390625
2016-07-12,256.93798828125
2016-07-13,255.54148864746094
2016-07-14,269.60528564453125
2016-07-15,271.0016784667969
2016-07-18,270.3034362792969
2016-07-19,265.216552734375
2016-07-20,264.5184326171875
2016-07-21,262.8227844238281
2016-07-22,259.3317565917969
2016-07-25,257.03765869140625
2016-07-26,254.5441131591797
2016-07-27,256.63873291015625
2016-07-28,259.93017578125
2016-07-29,256.63873291015625
2016-08-01,254.84332275390625
2016-08-02,254.14512634277344
2016-08-03,254.04544067382812
2016-08-04,252.8484344482422
2016-08-05,260.72808837890625
2016-08-08,260.927734375
2016-08-09,263.22174072265625
2016-08-10,272.8968505859375
2016-08-11,278.18316650390625
2016-08-12,280.4773254394531
2016-08-15,277.88397216796875
2016-08-16,272.3981018066406
2016-08-17,271.8994445800781
2016-08-18,276.088623046875
2016-08-19,276.8866271972656
2016-08-22,277.9837341308594
2016-08-23,281.973388671875
2016-08-24,282.9709167480469
2016-08-25,282.27264404296875
2016-08-26,281.8736877441406
2016-08-30,276.2881164550781
2016-08-31,274.6921691894531
2016-09-01,276.1883544921875
2016-09-02,277.2854919433594
2016-09-05,276.3878173828125
2016-09-06,276.5873107910156
2016-09-07,277.2854919433594
2016-09-08,276.7867431640625
2016-09-09,271.799560546875
2016-09-12,268.40838623046875
2016-09-13,265.6155090332031
2016-09-14,260.927734375
2016-09-15,260.02996826171875
2016-09-16,259.03253173828125
2016-09-19,261.7256164550781
2016-09-20,262.5235900878906
2016-09-21,262.7230224609375
2016-09-22,263.02227783203125
2016-09-23,259.83050537109375
2016-09-26,253.14768981933594
2016-09-27,251.05311584472656
2016-09-28,254.04544067382812
2016-09-29,253.34718322753906
2016-09-30,254.34458923339844
2016-10-03,253.34718322753906
2016-10-04,250.35487365722656
2016-10-05,250.55438232421875
2016-10-06,249.15797424316406
2016-10-07,243.672119140625
2016-10-10,241.37802124023438
2016-10-11,240.97906494140625
2016-10-12,239.78216552734375
2016-10-13,235.79244995117188
2016-10-14,239.0839385986328
2016-10-17,236.88958740234375
2016-10-18,240.3805694580078
2016-10-19,239.38316345214844
2016-10-20,236.98936462402344
2016-10-21,237.88699340820312
2016-10-24,243.9713134765625
2016-10-25,238.18624877929688
2016-10-26,236.98936462402344
2016-10-27,239.58267211914062
2016-10-28,238.08648681640625
2016-10-31,233.99703979492188
2016-11-01,234.9945068359375
2016-11-02,233.29884338378906
2016-11-03,240.87933349609375
2016-11-04,234.09677124023438
2016-11-07,233.3986053466797
2016-11-08,231.90245056152344
2016-11-09,233.29884338378906
2016-11-10,234.9945068359375
2016-11-11,237.38829040527344
2016-11-14,238.48548889160156
2016-11-15,244.3702850341797
2016-11-16,255.342041015625
2016-11-17,255.6412811279297
2016-11-18,256.3394775390625
2016-11-21,252.34976196289062
2016-11-22,254.7435760498047
2016-11-23,252.74874877929688
2016-11-24,249.6754150390625
2016-11-25,248.67796325683594
2016-11-28,248.0793914794922
2016-11-29,248.87745666503906
2016-11-30,248.37864685058594
2016-12-01,246.5831756591797
2016-12-02,242.39361572265625
2016-12-05,243.49090576171875
2016-12-06,240.59811401367188
2016-12-07,243.39111328125
2016-12-08,250.17417907714844
2016-12-09,251.67044067382812
2016-12-12,252.5681915283203
2016-12-13,260.1492004394531
2016-12-14,261.146728515625
2016-12-15,259.4509582519531
2016-12-16,265.43609619140625
2016-12-19,267.1316833496094
2016-12-20,267.331298828125
2016-12-21,267.92974853515625
2016-12-22,270.4235534667969
2016-12-23,271.2215270996094
2016-12-28,273.9147644042969
2016-12-29,273.0169982910156
2016-12-30,277.3062744140625
2017-01-03,276.308837890625
2017-01-04,302.4433898925781
2017-01-05,302.2439270019531
2017-01-06,301.04681396484375
2017-01-09,304.2389221191406
2017-01-10,302.3437194824219
2017-01-11,304.0393981933594
2017-01-12,300.1491394042969
2017-01-13,303.9396667480469
2017-01-16,299.2514343261719
2017-01-17,299.0519104003906
2017-01-18,301.04681396484375
2017-01-19,300.2489013671875
2017-01-20,298.453369140625
2017-01-23,296.75762939453125
2017-01-24,294.8623962402344
2017-01-25,296.358642578125
2017-01-26,300.74761962890625
2017-01-27,304.5381774902344
2017-01-30,298.453369140625
2017-01-31,299.5506591796875
2017-02-01,304.0393981933594
2017-02-02,302.2439270019531
2017-02-03,305.8349914550781
2017-02-06,303.1416320800781
2017-02-07,303.8399353027344
2017-02-08,302.04437255859375
2017-02-09,301.8449401855469
2017-02-10,303.04193115234375
2017-02-13,303.1416320800781
2017-02-14,301.545654296875
2017-02-15,295.4609069824219
