Date,ED
2015-08-03,44.335330963134766
2015-08-04,43.95307540893555
2015-08-05,44.071231842041016
2015-08-06,44.286685943603516
2015-08-07,45.28057098388672
2015-08-10,45.28057098388672
2015-08-11,45.76707458496094
2015-08-12,46.28834915161133
2015-08-13,46.51075744628906
2015-08-14,46.78876495361328
2015-08-17,46.81682205200195
2015-08-18,46.67646789550781
2015-08-19,46.92911911010742
2015-08-20,46.89402389526367
2015-08-21,46.360679626464844
2015-08-24,44.47282791137695
2015-08-25,43.65172576904297
2015-08-26,44.550025939941406
2015-08-27,44.844783782958984
2015-08-28,44.634239196777344
2015-08-31,44.15000534057617
2015-09-01,43.216617584228516
2015-09-02,43.2657470703125
2015-09-03,43.42716598510742
2015-09-04,42.71133041381836
2015-09-08,43.7499885559082
2015-09-09,43.020118713378906
2015-09-10,43.209598541259766
2015-09-11,43.785064697265625
2015-09-14,43.96051788330078
2015-09-15,43.97455596923828
2015-09-16,44.599143981933594
2015-09-17,45.27287673950195
2015-09-18,45.65185546875
2015-09-21,45.63780975341797
2015-09-22,45.6097412109375
2015-09-23,45.98871994018555
2015-09-24,46.283470153808594
2015-09-25,46.50102615356445
2015-09-28,46.192230224609375
2015-09-29,46.24837875366211
2015-09-30,46.91510009765625
2015-10-01,46.05889129638672
2015-10-02,46.76770782470703
2015-10-05,47.07650375366211
2015-10-06,46.07291793823242
2015-10-07,45.90449905395508
2015-10-08,46.50803756713867
2015-10-09,45.91853332519531
2015-10-12,46.15715026855469
2015-10-13,45.99574279785156
2015-10-14,45.95362091064453
2015-10-15,46.64840316772461
2015-10-16,47.03439712524414
2015-10-19,46.971248626708984
2015-10-20,47.132652282714844
2015-10-21,46.99930191040039
2015-10-22,47.5677490234375
2015-10-23,47.048423767089844
2015-10-26,47.048423767089844
2015-10-27,47.19580078125
2015-10-28,46.60628890991211
2015-10-29,45.8553581237793
2015-10-30,46.143104553222656
2015-11-02,46.03081512451172
2015-11-03,46.06591033935547
2015-11-04,46.262413024902344
2015-11-05,45.862388610839844
2015-11-06,43.476280212402344
2015-11-09,43.462242126464844
2015-11-10,43.98157501220703
